tournament: 26200, best_winning_streak: 261, mean_duration: 700.24, stdev: 117.24872024887947
tournament: 26300, best_winning_streak: 260, mean_duration: 691.49, stdev: 114.29886219906128
tournament: 26400, best_winning_streak: 260, mean_duration: 680.94, stdev: 112.06826669490343
tournament: 26500, best_winning_streak: 260, mean_duration: 698.93, stdev: 121.7771944988059
tournament: 26600, best_winning_streak: 256, mean_duration: 670.94, stdev: 123.87508385466384
tournament: 26700, best_winning_streak: 256, mean_duration: 702.4, stdev: 127.20707527492328
tournament: 26800, best_winning_streak: 257, mean_duration: 682.32, stdev: 142.05336180464016
tournament: 26900, best_winning_streak: 258, mean_duration: 687.11, stdev: 108.38449104922715
tournament: 27000, best_winning_streak: 259, mean_duration: 675.36, stdev: 112.13719454311313
tournament: 27100, best_winning_streak: 261, mean_duration: 675.1, stdev: 136.5803426558888
tournament: 27200, best_winning_streak: 261, mean_duration: 690.89, stdev: 136.43649768298803
tournament: 27300, best_winning_streak: 262, mean_duration: 661.67, stdev: 129.69133008802095
tournament: 27400, best_winning_streak: 262, mean_duration: 701.46, stdev: 131.50858679188974
tournament: 27500, best_winning_streak: 263, mean_duration: 664.59, stdev: 121.29650407163432
tournament: 27600, best_winning_streak: 264, mean_duration: 683.32, stdev: 121.15344650483534
tournament: 27700, best_winning_streak: 265, mean_duration: 704.22, stdev: 126.79696999534333
tournament: 27800, best_winning_streak: 266, mean_duration: 692.99, stdev: 127.3429617214866
tournament: 27900, best_winning_streak: 267, mean_duration: 703.46, stdev: 106.07982088974322
tournament: 28000, best_winning_streak: 268, mean_duration: 684.72, stdev: 129.39961978305809
tournament: 28100, best_winning_streak: 269, mean_duration: 686.23, stdev: 127.620754973476
tournament: 28200, best_winning_streak: 271, mean_duration: 681.01, stdev: 112.46168191877622
tournament: 28300, best_winning_streak: 272, mean_duration: 669.43, stdev: 129.20056153128746
tournament: 28400, best_winning_streak: 273, mean_duration: 672.94, stdev: 122.22436909225591
tournament: 28500, best_winning_streak: 274, mean_duration: 678.46, stdev: 122.01126341448972
tournament: 28600, best_winning_streak: 276, mean_duration: 685.75, stdev: 112.36194863030812
tournament: 28700, best_winning_streak: 277, mean_duration: 687.42, stdev: 125.26597143677928
